s nodes,t nodes,CPU Performance,GPU Performance,Speedup
100,100000,17.69046608,1.66027,10.65517421
250,100000,43.50922633,2.82498,15.40160508
500,100000,85.36150158,5.19925,16.41804137
750,100000,131.2174653,5.20609,25.20460947
1000,100000,173.1850545,5.21561,33.20513891
1250,100000,220.7490847,5.2172,42.31179267
1500,100000,262.3279661,5.14184,51.01830591
