s nodes,t nodes,CPU Performance,GPU Performance,Speedup
200,50000,3.906644917,4.57369,0.8541560353
400,50000,5.185047167,4.57677,1.132905339
600,50000,6.985500209,6.23484,1.12039767
800,50000,9.4449225,6.25115,1.510909593
1000,50000,11.31337838,6.10341,1.853615991
