s nodes,t nodes,CPU Performance,GPU Performance,Speedup
100,100000,5.435413542,9.07269,0.5990961382
250,100000,7.892140416,9.1263,0.8647689004
500,100000,12.02666129,9.05515,1.328157048
750,100000,17.92766858,12.4192,1.443544559
1000,100000,23.98248558,12.1983,1.966051465
1250,100000,28.33222462,12.7768,2.217474221
1500,100000,33.60903563,12.7956,2.626608805
